Pickup Date,Month,Origin Zip,Destination Zip,Pieces,Weight,Commodity Class,Base Retail,R/ Lift Gate Delivery,R/ Fuel Surcharge,Billed
7/13/17,Jul,75261,91709,1,190,65,147.22,53,30.92,$298.22 
7/13/17,Jul,75261,28215,1,190,65,150.29,29.96,31.56,$271.73 
7/13/17,Jul,75261,30066,1,190,65,150.29,29.96,31.56,$271.73 
7/13/17,Jul,90630,75261,1,384,65,152.68,,32.06,$248.20 
7/13/17,Jul,75261,48071,1,200,65,160.29,,18.75,$179.04 
7/13/17,Jul,75261,H4E3B6,1,190,65,172.5,74.75,20.18,$365.18 
7/18/17,Jul,90630,75261,1,380,65,152.68,,32.06,$248.20 
7/27/17,Jul,75261,71227,1,412,65,145.21,,17.29,$162.50 
7/27/17,Jul,75261,43551,1,479,65,160.21,,19.07,$179.28 
7/27/17,Jul,75261,29609,1,639,65,166.17,,19.78,$185.95 
7/31/17,Jul,75261,84120,2,1197,65,177.93,,37.54,$215.47 
8/3/17,Aug,75261,40229,1,921,65,151.67,,32.3,$183.97 
8/9/17,Aug,75261,14304,1,170,65,127.1,,27.07,$154.17 
8/15/17,Aug,75261,32771,1,103,125,127.04,,27.31,$154.35 
8/18/17,Aug,90660,89441,1,515,65,125.11,,27.02,$160.33 
8/18/17,Aug,90660,53545,1,515,65,126.08,,27.24,$161.50 
8/18/17,Aug,90660,76051,1,315,65,167.66,,25.07,$200.34 
8/18/17,Aug,90660,28731,1,340,65,167.66,,25.07,$200.34 
8/21/17,Aug,90660,44114,1,123,125,125.11,,27.02,$160.33 
8/21/17,Aug,75261,44114,1,123,125,127.01,,27.43,$154.44 
8/21/17,Aug,75261,29605,1,475,65,169.15,,25.29,$194.44 
8/24/17,Aug,75261,28078,1,226,65,169.15,,25.29,$194.44 
8/25/17,Aug,75261,44113,1,109,125,127.01,,27.43,$154.44 
8/29/17,Aug,75261,48071,1,270,65,127.01,,27.43,$154.44 
8/30/17,Aug,75261,84120,1,516,65,127.01,,27.43,$154.44 
8/30/17,Aug,75261,46140,1,729,65,128.4,,27.73,$156.13 
8/30/17,Aug,75261,40229,1,1135,65,167.05,,36.08,$203.13 
8/31/17,Aug,75261,43551,1,396,65,127.01,,27.43,$154.44 
8/31/17,Aug,75261,71227,1,154,65,127.01,,27.43,$154.44 
8/31/17,Aug,75261,29609,1,340,65,127.01,,27.43,$154.44 
8/31/17,Aug,75261,32043,1,106,125,154.96,,19.53,$174.49 
9/6/17,Sep,75261,78617,2,506,65,144.93,,18.41,$163.34 
9/8/17,Sep,75261,71227,1,411,65,126.76,,28.4,$155.16 
9/12/17,Sep,75261,46705,1,470,65,126.76,,28.4,$155.16 
9/12/17,Sep,75261,38118,1,1146,65,128,,28.68,$156.68 
9/15/17,Sep,75261,30071,1,336,65,126.7,,28.64,$155.34 
9/20/17,Sep,75261,46516,1,700,65,129.7,,29.19,$158.89 
9/21/17,Sep,90660,92115,1,129,125,124.87,,28.1,$161.16 
9/21/17,Sep,75261,92115,1,129,125,124.87,,28.1,$161.16 
9/22/17,Sep,75261,29605,1,481,65,126.73,,28.52,$155.25 
9/25/17,Sep,75261,71227,1,1434,65,138.18,,31.08,$169.26 
9/27/17,Sep,75261,84120,1,891,65,154.33,,34.73,$189.06 
9/28/17,Sep,75261,48420,1,214,65,123.71,,54.36,$296.00 
9/28/17,Sep,75261,90720,1,282,65,123.71,,54.36,$296.00 
9/28/17,Sep,75261,92590,1,176,65,141.64,,31.86,$173.50 
9/28/17,Sep,75261,90720,1,282,65,151.78,,34.16,$255.09 
9/28/17,Sep,75261,93727,1,307,65,167.46,,26.09,$201.15 
10/6/17,Oct,75261,92656,1,586,65,124.84,,28.21,$161.23 
10/6/17,Oct,75261,33018,1,646,70,170.89,,38.61,$209.50 
10/16/17,Oct,75261,37917,1,767,65,132.76,,29.86,$162.62 
10/17/17,Oct,75261,30144,1,354,65,126.73,,28.52,$155.25 
10/18/17,Oct,75261,21237,4,4664,65,68.49,,11.51,$80.00 
10/18/17,Oct,75261,92028,1,529,65,144.62,,32.53,$177.15 
10/18/17,Oct,75261,84120,1,1089,65,164.8,,37.09,$201.89 
10/19/17,Oct,75261,7032,1,652,65,161.06,,36.23,$197.29 
10/20/17,Oct,75261,29605,1,476,65,126.73,,28.52,$155.25 
10/23/17,Oct,75261,94503,1,124,70,124.87,,28.1,$161.16 
10/23/17,Oct,75261,84115,1,152,70,126.73,,28.52,$155.25 
10/23/17,Oct,75261,78415,1,100,85,126.73,,28.52,$155.25 
